분류명,조사연도,CO2,개체수
각다귀과,2015,2015 - 407,36
각다귀과,2016,2016 - 409.9,20
각다귀과,2017,2017 - 412.2,24
각다귀과,2018,2018 - 415.2,20
각다귀과,2019,2019 - 417.9,14
각다귀과,2020,2020 - 420.4,24
거머리과,2015,2015 - 407,41
거머리과,2016,2016 - 409.9,17
거머리과,2017,2017 - 412.2,10
거머리과,2018,2018 - 415.2,10
거머리과,2019,2019 - 417.9,3
거머리과,2020,2020 - 420.4,14
깔따구과,2015,2015 - 407,59
깔따구과,2016,2016 - 409.9,49
깔따구과,2017,2017 - 412.2,65
깔따구과,2018,2018 - 415.2,60
깔따구과,2019,2019 - 417.9,576
깔따구과,2020,2020 - 420.4,405
꼬마하루살이과,2015,2015 - 407,172
꼬마하루살이과,2016,2016 - 409.9,247
꼬마하루살이과,2017,2017 - 412.2,104
꼬마하루살이과,2018,2018 - 415.2,123
꼬마하루살이과,2019,2019 - 417.9,321
꼬마하루살이과,2020,2020 - 420.4,256
나비날도래과,2015,2015 - 407,7
나비날도래과,2016,2016 - 409.9,1
나비날도래과,2017,2017 - 412.2,1
나비날도래과,2018,2018 - 415.2,4
나비날도래과,2019,2019 - 417.9,1
나비날도래과,2020,2020 - 420.4,2
넙적거머리과,2015,2015 - 407,26
넙적거머리과,2016,2016 - 409.9,29
넙적거머리과,2017,2017 - 412.2,23
넙적거머리과,2018,2018 - 415.2,14
넙적거머리과,2019,2019 - 417.9,63
넙적거머리과,2020,2020 - 420.4,94
네모집날도래과,2015,2015 - 407,11
네모집날도래과,2016,2016 - 409.9,12
네모집날도래과,2017,2017 - 412.2,1
네모집날도래과,2018,2018 - 415.2,2
네모집날도래과,2019,2019 - 417.9,9
네모집날도래과,2020,2020 - 420.4,29
논우렁이과,2015,2015 - 407,12
논우렁이과,2016,2016 - 409.9,5
논우렁이과,2017,2017 - 412.2,16
논우렁이과,2018,2018 - 415.2,9
논우렁이과,2019,2019 - 417.9,9
논우렁이과,2020,2020 - 420.4,40
다슬기과,2015,2015 - 407,45
다슬기과,2016,2016 - 409.9,39
다슬기과,2017,2017 - 412.2,42
다슬기과,2018,2018 - 415.2,34
다슬기과,2019,2019 - 417.9,641
다슬기과,2020,2020 - 420.4,590
돌거머리과,2015,2015 - 407,20
돌거머리과,2016,2016 - 409.9,27
돌거머리과,2017,2017 - 412.2,30
돌거머리과,2018,2018 - 415.2,24
돌거머리과,2019,2019 - 417.9,136
돌거머리과,2020,2020 - 420.4,75
또아리물달팽이과,2015,2015 - 407,24
또아리물달팽이과,2016,2016 - 409.9,27
또아리물달팽이과,2017,2017 - 412.2,34
또아리물달팽이과,2018,2018 - 415.2,23
또아리물달팽이과,2019,2019 - 417.9,146
또아리물달팽이과,2020,2020 - 420.4,71
모기과,2015,2015 - 407,32
모기과,2016,2016 - 409.9,10
모기과,2017,2017 - 412.2,11
모기과,2018,2018 - 415.2,17
모기과,2019,2019 - 417.9,19
모기과,2020,2020 - 420.4,2
물달팽이과,2015,2015 - 407,124
물달팽이과,2016,2016 - 409.9,122
물달팽이과,2017,2017 - 412.2,112
물달팽이과,2018,2018 - 415.2,141
물달팽이과,2019,2019 - 417.9,333
물달팽이과,2020,2020 - 420.4,266
물땡땡이과,2015,2015 - 407,8
물땡땡이과,2016,2016 - 409.9,23
물땡땡이과,2017,2017 - 412.2,12
물땡땡이과,2018,2018 - 415.2,11
물땡땡이과,2019,2019 - 417.9,8
물땡땡이과,2020,2020 - 420.4,13
물방개과,2015,2015 - 407,23
물방개과,2016,2016 - 409.9,11
물방개과,2017,2017 - 412.2,17
물방개과,2018,2018 - 415.2,20
물방개과,2019,2019 - 417.9,14
물방개과,2020,2020 - 420.4,17
물벌레과,2015,2015 - 407,2
물벌레과,2016,2016 - 409.9,6
물벌레과,2017,2017 - 412.2,13
물벌레과,2018,2018 - 415.2,14
물벌레과,2019,2019 - 417.9,9
물벌레과,2020,2020 - 420.4,209
물잠자리과,2015,2015 - 407,10
물잠자리과,2016,2016 - 409.9,20
물잠자리과,2017,2017 - 412.2,8
물잠자리과,2018,2018 - 415.2,13
물잠자리과,2019,2019 - 417.9,25
물잠자리과,2020,2020 - 420.4,44
물장군과,2015,2015 - 407,37
물장군과,2016,2016 - 409.9,27
물장군과,2017,2017 - 412.2,39
물장군과,2018,2018 - 415.2,36
물장군과,2019,2019 - 417.9,33
물장군과,2020,2020 - 420.4,48
방울실잠자리과,2015,2015 - 407,57
방울실잠자리과,2016,2016 - 409.9,127
방울실잠자리과,2017,2017 - 412.2,85
방울실잠자리과,2018,2018 - 415.2,116
방울실잠자리과,2019,2019 - 417.9,75
방울실잠자리과,2020,2020 - 420.4,88
뾰족쨈물우렁이과,2015,2015 - 407,9
뾰족쨈물우렁이과,2016,2016 - 409.9,13
뾰족쨈물우렁이과,2017,2017 - 412.2,25
뾰족쨈물우렁이과,2018,2018 - 415.2,28
뾰족쨈물우렁이과,2019,2019 - 417.9,38
뾰족쨈물우렁이과,2020,2020 - 420.4,33
사과우렁이과,2015,2015 - 407,3
사과우렁이과,2016,2016 - 409.9,3
사과우렁이과,2017,2017 - 412.2,11
사과우렁이과,2018,2018 - 415.2,4
사과우렁이과,2019,2019 - 417.9,7
사과우렁이과,2020,2020 - 420.4,25
새뱅이과,2015,2015 - 407,1
새뱅이과,2016,2016 - 409.9,12
새뱅이과,2017,2017 - 412.2,14
새뱅이과,2018,2018 - 415.2,21
새뱅이과,2019,2019 - 417.9,32
새뱅이과,2020,2020 - 420.4,22
석패과,2015,2015 - 407,3
석패과,2016,2016 - 409.9,10
석패과,2017,2017 - 412.2,57
석패과,2018,2018 - 415.2,90
석패과,2019,2019 - 417.9,32
석패과,2020,2020 - 420.4,59
소금쟁이과,2015,2015 - 407,29
소금쟁이과,2016,2016 - 409.9,31
소금쟁이과,2017,2017 - 412.2,31
소금쟁이과,2018,2018 - 415.2,26
소금쟁이과,2019,2019 - 417.9,89
소금쟁이과,2020,2020 - 420.4,195
실잠자리과,2015,2015 - 407,279
실잠자리과,2016,2016 - 409.9,269
실잠자리과,2017,2017 - 412.2,196
실잠자리과,2018,2018 - 415.2,212
실잠자리과,2019,2019 - 417.9,236
실잠자리과,2020,2020 - 420.4,243
실지렁이과,2015,2015 - 407,7
실지렁이과,2016,2016 - 409.9,7
실지렁이과,2017,2017 - 412.2,16
실지렁이과,2018,2018 - 415.2,6
실지렁이과,2019,2019 - 417.9,9
실지렁이과,2020,2020 - 420.4,25
왕잠자리과,2015,2015 - 407,10
왕잠자리과,2016,2016 - 409.9,8
왕잠자리과,2017,2017 - 412.2,5
왕잠자리과,2018,2018 - 415.2,11
왕잠자리과,2019,2019 - 417.9,6
왕잠자리과,2020,2020 - 420.4,7
왼돌이물달팽이과,2015,2015 - 407,187
왼돌이물달팽이과,2016,2016 - 409.9,53
왼돌이물달팽이과,2017,2017 - 412.2,62
왼돌이물달팽이과,2018,2018 - 415.2,66
왼돌이물달팽이과,2019,2019 - 417.9,346
왼돌이물달팽이과,2020,2020 - 420.4,204
잠자리과,2015,2015 - 407,76
잠자리과,2016,2016 - 409.9,86
잠자리과,2017,2017 - 412.2,59
잠자리과,2018,2018 - 415.2,60
잠자리과,2019,2019 - 417.9,62
잠자리과,2020,2020 - 420.4,78
장구애비과,2015,2015 - 407,11
장구애비과,2016,2016 - 409.9,16
장구애비과,2017,2017 - 412.2,9
장구애비과,2018,2018 - 415.2,18
장구애비과,2019,2019 - 417.9,12
장구애비과,2020,2020 - 420.4,14
재첩과,2015,2015 - 407,6
재첩과,2016,2016 - 409.9,20
재첩과,2017,2017 - 412.2,26
재첩과,2018,2018 - 415.2,25
재첩과,2019,2019 - 417.9,64
재첩과,2020,2020 - 420.4,150
줄날도래과,2015,2015 - 407,44
줄날도래과,2016,2016 - 409.9,35
줄날도래과,2017,2017 - 412.2,48
줄날도래과,2018,2018 - 415.2,37
줄날도래과,2019,2019 - 417.9,908
줄날도래과,2020,2020 - 420.4,1278
징거미새우과,2015,2015 - 407,17
징거미새우과,2016,2016 - 409.9,36
징거미새우과,2017,2017 - 412.2,69
징거미새우과,2018,2018 - 415.2,60
징거미새우과,2019,2019 - 417.9,39
징거미새우과,2020,2020 - 420.4,105
플라나리아과,2015,2015 - 407,16
플라나리아과,2016,2016 - 409.9,22
플라나리아과,2017,2017 - 412.2,22
플라나리아과,2018,2018 - 415.2,18
플라나리아과,2019,2019 - 417.9,55
플라나리아과,2020,2020 - 420.4,250
