분류명,조사연도,연 평균기온,개체수
각다귀과,2017,2017 - 12.6,24
각다귀과,2018,2018 - 12.7,20
각다귀과,2020,2020 - 12.9,24
각다귀과,2019,2019 - 13.2,14
각다귀과,2015,2015 - 13.5,36
각다귀과,2016,2016 - 13.6,20
거머리과,2017,2017 - 12.6,10
거머리과,2018,2018 - 12.7,10
거머리과,2020,2020 - 12.9,14
거머리과,2019,2019 - 13.2,3
거머리과,2015,2015 - 13.5,41
거머리과,2016,2016 - 13.6,17
깔따구과,2017,2017 - 12.6,65
깔따구과,2018,2018 - 12.7,60
깔따구과,2020,2020 - 12.9,405
깔따구과,2019,2019 - 13.2,576
깔따구과,2015,2015 - 13.5,59
깔따구과,2016,2016 - 13.6,49
꼬마하루살이과,2017,2017 - 12.6,104
꼬마하루살이과,2018,2018 - 12.7,123
꼬마하루살이과,2020,2020 - 12.9,256
꼬마하루살이과,2019,2019 - 13.2,321
꼬마하루살이과,2015,2015 - 13.5,172
꼬마하루살이과,2016,2016 - 13.6,247
나비날도래과,2017,2017 - 12.6,1
나비날도래과,2018,2018 - 12.7,4
나비날도래과,2020,2020 - 12.9,2
나비날도래과,2019,2019 - 13.2,1
나비날도래과,2015,2015 - 13.5,7
나비날도래과,2016,2016 - 13.6,1
넙적거머리과,2017,2017 - 12.6,23
넙적거머리과,2018,2018 - 12.7,14
넙적거머리과,2020,2020 - 12.9,94
넙적거머리과,2019,2019 - 13.2,63
넙적거머리과,2015,2015 - 13.5,26
넙적거머리과,2016,2016 - 13.6,29
네모집날도래과,2017,2017 - 12.6,1
네모집날도래과,2018,2018 - 12.7,2
네모집날도래과,2020,2020 - 12.9,29
네모집날도래과,2019,2019 - 13.2,9
네모집날도래과,2015,2015 - 13.5,11
네모집날도래과,2016,2016 - 13.6,12
논우렁이과,2017,2017 - 12.6,16
논우렁이과,2018,2018 - 12.7,9
논우렁이과,2020,2020 - 12.9,40
논우렁이과,2019,2019 - 13.2,9
논우렁이과,2015,2015 - 13.5,12
논우렁이과,2016,2016 - 13.6,5
다슬기과,2017,2017 - 12.6,42
다슬기과,2018,2018 - 12.7,34
다슬기과,2020,2020 - 12.9,590
다슬기과,2019,2019 - 13.2,641
다슬기과,2015,2015 - 13.5,45
다슬기과,2016,2016 - 13.6,39
돌거머리과,2017,2017 - 12.6,30
돌거머리과,2018,2018 - 12.7,24
돌거머리과,2020,2020 - 12.9,75
돌거머리과,2019,2019 - 13.2,136
돌거머리과,2015,2015 - 13.5,20
돌거머리과,2016,2016 - 13.6,27
또아리물달팽이과,2017,2017 - 12.6,34
또아리물달팽이과,2018,2018 - 12.7,23
또아리물달팽이과,2020,2020 - 12.9,71
또아리물달팽이과,2019,2019 - 13.2,146
또아리물달팽이과,2015,2015 - 13.5,24
또아리물달팽이과,2016,2016 - 13.6,27
모기과,2017,2017 - 12.6,11
모기과,2018,2018 - 12.7,17
모기과,2020,2020 - 12.9,2
모기과,2019,2019 - 13.2,19
모기과,2015,2015 - 13.5,32
모기과,2016,2016 - 13.6,10
물달팽이과,2017,2017 - 12.6,112
물달팽이과,2018,2018 - 12.7,141
물달팽이과,2020,2020 - 12.9,266
물달팽이과,2019,2019 - 13.2,333
물달팽이과,2015,2015 - 13.5,124
물달팽이과,2016,2016 - 13.6,122
물땡땡이과,2017,2017 - 12.6,12
물땡땡이과,2018,2018 - 12.7,11
물땡땡이과,2020,2020 - 12.9,13
물땡땡이과,2019,2019 - 13.2,8
물땡땡이과,2015,2015 - 13.5,8
물땡땡이과,2016,2016 - 13.6,23
물방개과,2017,2017 - 12.6,17
물방개과,2018,2018 - 12.7,20
물방개과,2020,2020 - 12.9,17
물방개과,2019,2019 - 13.2,14
물방개과,2015,2015 - 13.5,23
물방개과,2016,2016 - 13.6,11
물벌레과,2017,2017 - 12.6,13
물벌레과,2018,2018 - 12.7,14
물벌레과,2020,2020 - 12.9,209
물벌레과,2019,2019 - 13.2,9
물벌레과,2015,2015 - 13.5,2
물벌레과,2016,2016 - 13.6,6
물잠자리과,2017,2017 - 12.6,8
물잠자리과,2018,2018 - 12.7,13
물잠자리과,2020,2020 - 12.9,44
물잠자리과,2019,2019 - 13.2,25
물잠자리과,2015,2015 - 13.5,10
물잠자리과,2016,2016 - 13.6,20
물장군과,2017,2017 - 12.6,39
물장군과,2018,2018 - 12.7,36
물장군과,2020,2020 - 12.9,48
물장군과,2019,2019 - 13.2,33
물장군과,2015,2015 - 13.5,37
물장군과,2016,2016 - 13.6,27
방울실잠자리과,2017,2017 - 12.6,85
방울실잠자리과,2018,2018 - 12.7,116
방울실잠자리과,2020,2020 - 12.9,88
방울실잠자리과,2019,2019 - 13.2,75
방울실잠자리과,2015,2015 - 13.5,57
방울실잠자리과,2016,2016 - 13.6,127
뾰족쨈물우렁이과,2017,2017 - 12.6,25
뾰족쨈물우렁이과,2018,2018 - 12.7,28
뾰족쨈물우렁이과,2020,2020 - 12.9,33
뾰족쨈물우렁이과,2019,2019 - 13.2,38
뾰족쨈물우렁이과,2015,2015 - 13.5,9
뾰족쨈물우렁이과,2016,2016 - 13.6,13
사과우렁이과,2017,2017 - 12.6,11
사과우렁이과,2018,2018 - 12.7,4
사과우렁이과,2020,2020 - 12.9,25
사과우렁이과,2019,2019 - 13.2,7
사과우렁이과,2015,2015 - 13.5,3
사과우렁이과,2016,2016 - 13.6,3
새뱅이과,2017,2017 - 12.6,14
새뱅이과,2018,2018 - 12.7,21
새뱅이과,2020,2020 - 12.9,22
새뱅이과,2019,2019 - 13.2,32
새뱅이과,2015,2015 - 13.5,1
새뱅이과,2016,2016 - 13.6,12
석패과,2017,2017 - 12.6,57
석패과,2018,2018 - 12.7,90
석패과,2020,2020 - 12.9,59
석패과,2019,2019 - 13.2,32
석패과,2015,2015 - 13.5,3
석패과,2016,2016 - 13.6,10
소금쟁이과,2017,2017 - 12.6,31
소금쟁이과,2018,2018 - 12.7,26
소금쟁이과,2020,2020 - 12.9,195
소금쟁이과,2019,2019 - 13.2,89
소금쟁이과,2015,2015 - 13.5,29
소금쟁이과,2016,2016 - 13.6,31
실잠자리과,2017,2017 - 12.6,196
실잠자리과,2018,2018 - 12.7,212
실잠자리과,2020,2020 - 12.9,243
실잠자리과,2019,2019 - 13.2,236
실잠자리과,2015,2015 - 13.5,279
실잠자리과,2016,2016 - 13.6,269
실지렁이과,2017,2017 - 12.6,16
실지렁이과,2018,2018 - 12.7,6
실지렁이과,2020,2020 - 12.9,25
실지렁이과,2019,2019 - 13.2,9
실지렁이과,2015,2015 - 13.5,7
실지렁이과,2016,2016 - 13.6,7
왕잠자리과,2017,2017 - 12.6,5
왕잠자리과,2018,2018 - 12.7,11
왕잠자리과,2020,2020 - 12.9,7
왕잠자리과,2019,2019 - 13.2,6
왕잠자리과,2015,2015 - 13.5,10
왕잠자리과,2016,2016 - 13.6,8
왼돌이물달팽이과,2017,2017 - 12.6,62
왼돌이물달팽이과,2018,2018 - 12.7,66
왼돌이물달팽이과,2020,2020 - 12.9,204
왼돌이물달팽이과,2019,2019 - 13.2,346
왼돌이물달팽이과,2015,2015 - 13.5,187
왼돌이물달팽이과,2016,2016 - 13.6,53
잠자리과,2017,2017 - 12.6,59
잠자리과,2018,2018 - 12.7,60
잠자리과,2020,2020 - 12.9,78
잠자리과,2019,2019 - 13.2,62
잠자리과,2015,2015 - 13.5,76
잠자리과,2016,2016 - 13.6,86
장구애비과,2017,2017 - 12.6,9
장구애비과,2018,2018 - 12.7,18
장구애비과,2020,2020 - 12.9,14
장구애비과,2019,2019 - 13.2,12
장구애비과,2015,2015 - 13.5,11
장구애비과,2016,2016 - 13.6,16
재첩과,2017,2017 - 12.6,26
재첩과,2018,2018 - 12.7,25
재첩과,2020,2020 - 12.9,150
재첩과,2019,2019 - 13.2,64
재첩과,2015,2015 - 13.5,6
재첩과,2016,2016 - 13.6,20
줄날도래과,2017,2017 - 12.6,48
줄날도래과,2018,2018 - 12.7,37
줄날도래과,2020,2020 - 12.9,1278
줄날도래과,2019,2019 - 13.2,908
줄날도래과,2015,2015 - 13.5,44
줄날도래과,2016,2016 - 13.6,35
징거미새우과,2017,2017 - 12.6,69
징거미새우과,2018,2018 - 12.7,60
징거미새우과,2020,2020 - 12.9,105
징거미새우과,2019,2019 - 13.2,39
징거미새우과,2015,2015 - 13.5,17
징거미새우과,2016,2016 - 13.6,36
플라나리아과,2017,2017 - 12.6,22
플라나리아과,2018,2018 - 12.7,18
플라나리아과,2020,2020 - 12.9,250
플라나리아과,2019,2019 - 13.2,55
플라나리아과,2015,2015 - 13.5,16
플라나리아과,2016,2016 - 13.6,22
